2015-01-12,CBS,32969,139,867,546,983,2155
2015-01-12,CELG,988,7128,782,1029,1660,479
2015-01-12,CELG,29,11,619,1919,117,32
2015-01-12,CNP,0,0,353,1785,2480,797
2015-01-12,CNP,503,109,0,64,59,2267
2015-01-12,CTL,34,71,207,5252,8388,3096
2015-01-12,CTL,1497,2463,834,1446,11343,1807
2015-01-12,CERN,335,1229,1940,1053,2570,455
2015-01-12,CERN,801,20,22,2680,1539,946
2015-01-12,CF,218,462,56,656,3,242
2015-01-12,CF,31,1,38,35,30,9
2015-01-12,CHK,564,893,167,4680,509,4948
2015-01-12,CHK,10359,330,22532,9680,6305,2890
2015-01-12,CVX,40,17,8753,512,271,711
2015-01-12,CVX,456,534,1826,364,305,14980
2015-01-12,CMG,490,75,602,377,653,200
2015-01-12,CMG,86,65,48,87,32,116
2015-01-12,CB,0,521,672,318,21
2015-01-12,CB,,562,228,306
2015-01-12,CI,988,591,1351,664,101,85
2015-01-12,CI,131,27,0,589,584,270
2015-01-12,XEC,1,5,1001,1089,2093,1844
2015-01-12,XEC,331,86,109,131,153,238
2015-01-12,CINF,74,8
2015-01-12,CINF,56,0
2015-01-12,CTAS,235,632,248,184,132,0
2015-01-12,CTAS,146,126,10,72,152,0
2015-01-12,CSCO,32328,3864,39167,6999,9350,816
2015-01-12,CSCO,1302,2094,43,32641,9675,11608
2015-01-12,C,4821,675,66580,380,2940,756
2015-01-12,C,1864,2054,3536,9783,4173,86340
2015-01-12,CTXS,1287,746,892,1175,1526,1422
2015-01-12,CTXS,1391,409,162,812,759,1426
2015-01-12,CLX,1370,3539,10811,650,94,64
2015-01-12,CLX,423,11,14,195,588,1583
2015-01-12,CME,474,2,686,1,0,131
2015-01-12,CME,2,117,754,0,565,0
2015-01-12,CMS,30,362,12
2015-01-12,CMS,,0,2046,0
2015-01-12,COH,431,7505,414,2528,50,10230
2015-01-12,COH,762,0,16361,187,4603,38
2015-01-12,KO,494,1466,47558,4176,11334,56510
2015-01-12,KO,1566,320,6930,10909,19001,34902
2015-01-12,CCE,645,4601,6433,6216,14617,3594
2015-01-12,CCE,681,273,99,353,978,524
2015-01-12,CTSH,32,459,298,574,9481,152
2015-01-12,CTSH,126,319,15,209,555,321
2015-01-12,CL,3980,2731,67,41,69,744
2015-01-12,CL,80,105,79,5034,5332,105
2015-01-12,CMCSA,53318,78,2209,2651,6157,76949
2015-01-12,CMCSA,2660,4671,10310,16317,5612,9985
2015-01-12,CMA,32,0,265,311,191,1029
2015-01-12,CMA,812,971,892,124,1137,1269
2015-01-12,CSC,0,4,373,1049,223,11
2015-01-12,CSC,178,14,0,351,718,835
2015-01-12,CAG,6153,2090,4956,1340,2842,1138
2015-01-12,CAG,1006,917,36,818,417,2035
2015-01-12,COP,4,617,124,93,162,188
2015-01-12,COP,273,1221,603,605,5969,708
2015-01-12,CNX,660,1,208,80,131,1528
2015-01-12,CNX,240,1189,445,826,107,1376
2015-01-12,ED,4808,3269,2128,2490,649,0
2015-01-12,ED,4727,313,12,1315,2092,1621
2015-01-12,STZ,1896,941,3166,352,19,1
2015-01-12,STZ,19,8,0,403,149,626
2015-01-12,GLW,17755,289,6944,2945,2396,2
2015-01-12,GLW,1759,2145,0,3461,1906,5750
2015-01-12,COST,1801,176,489,2073,971,1890
2015-01-12,COST,1139,968,752,1332,228,492
2015-01-12,COV,759,11475,2494,741,21
2015-01-12,COV,,369,0,0
2015-01-12,CCI,582,1280,10262,5454,10099,1727
2015-01-12,CCI,28,81,0,700,536,475
2015-01-12,CSX,43,439,3064,3901,7191,3035
2015-01-12,CSX,2305,3068,1541,2025,2234,6637
2015-01-12,CMI,1426,16,252,25,136,2419
2015-01-12,CMI,46,83,978,1329,120,147
2015-01-12,CVS,1301,606,8,1533,522,10
2015-01-12,CVS,890,244,10,1590,15,18
2015-01-12,DHI,17705,818,4489,238,2189,38
2015-01-12,DHI,80,918,0,3890,320,2264
2015-01-12,DHR,515,4051,17574,19275,34547,4520
2015-01-12,DHR,2124,3663,3,786,1990,1078
2015-01-12,DRI,10,56,2395,2781,922,3196
2015-01-12,DRI,226,30,20,2098,881,461
2015-01-12,DVA,1432,660,811,1251,2002,2450
2015-01-12,DVA,1039,243,101,1654,723,1678
2015-01-12,DE,118,10,280,41,2518,7
2015-01-12,DE,287,394,0,754,0,13139
2015-01-12,DLPH,278,2059,501,1414,290,2258
2015-01-12,DLPH,2486,134,117,2065,201,811
2015-01-12,DAL,31569,80,4081,287,8418,394
2015-01-12,DAL,2559,1226,1862,7835,2503,4698
2015-01-12,DNR,200,6,489,1373,1154,7644
2015-01-12,DNR,800,583,244,0,37,1460
2015-01-12,XRAY,0,86,945,182,0,20
2015-01-12,XRAY,286,4,0,217,192,96
2015-01-12,DVN,237,526,129,58,3524,102
2015-01-12,DVN,184,3195,68,144,119,358
2015-01-12,DO,256,2,835,46,971,65
2015-01-12,DO,1881,8349,309,837,521,2747
2015-01-12,DTV,1682,3286,923,2943,234,0
2015-01-12,DTV,4123,1019,108,1143,3795,4195
2015-01-12,DFS,1744,1232,22,20,9,153
2015-01-12,DFS,55,28,63,3,1576,22
2015-01-12,DISCA,41,4766,2138,1684
